STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
51,001,090100,1,910,+37.939708,-075.355034
51,001,090100,2,798,+37.930328,-075.374341
51,001,090100,3,616,+37.922540,-075.369853
51,001,090100,4,617,+37.914240,-075.391564
51,001,090200,1,867,+37.966084,-075.555922
51,001,090200,2,3043,+37.972679,-075.457365
51,001,090200,3,2246,+37.911087,-075.525424
51,001,090300,1,715,+37.925216,-075.674488
51,001,090300,2,707,+37.883234,-075.576363
51,001,090300,3,913,+37.833074,-075.629278
51,001,090400,1,1172,+37.845412,-075.570158
51,001,090400,2,1487,+37.806386,-075.591693
51,001,090400,3,2036,+37.759311,-075.625657
51,001,090400,4,1539,+37.715181,-075.663531
51,001,090500,1,631,+37.799753,-075.673934
51,001,090500,2,1258,+37.785915,-075.653244
51,001,090500,3,960,+37.744836,-075.681080
51,001,090600,1,727,+37.822343,-075.992548
51,001,090600,2,1109,+37.744677,-075.746957
51,001,090600,3,1220,+37.711115,-075.742512
51,001,090600,4,1345,+37.698281,-075.769386
51,001,090700,1,1089,+37.681569,-075.717164
51,001,090700,2,678,+37.648832,-075.740425
51,001,090700,3,692,+37.613761,-075.764560
51,001,090700,4,1005,+37.663956,-075.785875
51,001,090700,5,1443,+37.595762,-075.859833
51,001,090800,1,901,+37.630787,-075.693439
51,001,090800,2,1598,+37.588091,-075.788339
51,001,090800,3,837,+37.553467,-075.810083
51,001,980100,1,0,+37.969556,-075.291179
51,001,980200,1,5,+37.838676,-075.511890
51,001,990100,0,0,+37.595224,-075.541242
51,001,990200,0,0,+37.731332,-076.047814
51,003,010100,1,2003,+38.200619,-078.534769
51,003,010100,2,1584,+38.171523,-078.659196
51,003,010100,3,1603,+38.119543,-078.613582
51,003,010201,1,2726,+38.166980,-078.405866
51,003,010201,2,1938,+38.167056,-078.460690
51,003,010202,1,1406,+38.107052,-078.527443
51,003,010202,2,1671,+38.134857,-078.488025
51,003,010300,1,2337,+38.121029,-078.431307
51,003,010300,2,841,+38.133631,-078.417358
51,003,010300,3,1363,+38.127565,-078.447460
51,003,010300,4,1439,+38.114984,-078.442095
51,003,010300,5,2118,+38.106589,-078.437905
51,003,010401,1,2049,+38.111974,-078.374287
51,003,010401,2,1017,+38.076562,-078.279037
51,003,010401,3,1265,+38.017139,-078.348260
51,003,010402,1,818,+37.992993,-078.412890
51,003,010402,2,2496,+37.990472,-078.373664
51,003,010500,1,938,+38.062192,-078.429085
51,003,010500,2,2793,+38.034772,-078.439699
51,003,010500,3,812,+38.027588,-078.449565
51,003,010601,1,853,+38.089687,-078.462185
51,003,010601,2,2743,+38.081847,-078.461060
51,003,010601,3,2221,+38.072409,-078.473373
51,003,010602,1,1532,+38.062906,-078.460008
51,003,010602,2,1165,+38.057916,-078.456694
51,003,010700,1,1053,+38.081175,-078.482472
51,003,010700,2,2604,+38.077828,-078.489594
51,003,010700,3,2488,+38.071452,-078.493876
51,003,010800,1,1175,+38.083404,-078.499183
51,003,010800,2,972,+38.067495,-078.500295
51,003,010800,3,1291,+38.062560,-078.501900
51,003,010800,4,1078,+38.064354,-078.510820
51,003,010800,5,809,+38.059832,-078.518573
51,003,010901,1,1256,+38.049549,-078.517223
51,003,010901,2,644,+38.048539,-078.509813
51,003,010902,1,1300,+38.039095,-078.520778
51,003,010902,2,1891,+38.032855,-078.516819
51,003,010903,1,1311,+38.035464,-078.511258
51,003,010903,2,1302,+38.039074,-078.504408
51,003,011000,1,1039,+38.071672,-078.551759
51,003,011000,2,978,+38.038029,-078.541406
51,003,011000,3,1474,+38.076695,-078.605765
51,003,011000,4,1502,+38.045845,-078.623914
51,003,011000,5,1299,+38.068691,-078.584532
